Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Avg_Temp,Avg_Humidity,Total_Rainfall_Season,Soil_pH,Soil_N,Soil_P,Soil_K
Maize,2000,Kharif,Meghalaya,16906.0,24250,6258.8,1659662.02,4395.56,1.437142857,21.461764705882352,89.68581699346406,0.0,5.254245403757145,290.32320368092314,36.80697802754207,218.45643879759163
Potato,2000,Whole Year,Meghalaya,18318.0,144292,6258.8,1798278.06,4762.68,6.954285714,17.52204918032787,79.14224043715848,0.0,5.194626094133508,323.4696548372101,21.901274479551276,209.8628300525027
Rice,2000,Kharif,Meghalaya,102657.0,165907,6258.8,10077837.69,26690.82,1.681428571,21.461764705882352,89.68581699346406,0.0,5.213057060235726,295.51488974301196,35.458803882677515,176.1491730247893
Rice,2000,Rabi,Meghalaya,4003.0,13135,6258.8,392974.51,1040.78,1.744285714,14.02983425414365,66.75779005524862,0.0,5.167049216824373,305.3566885726762,42.38947022370758,193.78075738071624
Turmeric,2000,Whole Year,Meghalaya,1523.0,8565,6258.8,149512.91,395.98,5.464285714,17.52204918032787,79.14224043715848,0.0,5.078725959566022,292.47364434623194,39.57701058851037,203.9450133159162
Ginger,2001,Kharif,Meghalaya,8897.0,36590,4241.0,908650.61,2313.22,5.837142857,21.61039215686274,90.21535947712418,0.0,5.120535969434944,307.69901149670034,35.4853877467402,211.62373988639467
Maize,2001,Kharif,Meghalaya,16866.0,25247,4241.0,1722524.58,4385.16,1.471428571,21.61039215686274,90.21535947712418,0.0,5.094692035918397,295.08506780103346,33.03945923433921,182.43782062241456
Potato,2001,Whole Year,Meghalaya,18151.0,159032,4241.0,1853761.63,4719.26,7.288571429,17.846136986301367,78.13895890410959,0.0,5.244418041559687,303.91582908269834,35.025567283212304,197.18495439949822
Rice,2001,Kharif,Meghalaya,107761.0,188971,4241.0,11005630.93,28017.86,1.751428571,21.61039215686274,90.21535947712418,0.0,4.987694388692438,293.6903201585196,33.286427417366156,190.37267276934057
Turmeric,2001,Whole Year,Meghalaya,1523.0,8577,4241.0,155543.99,395.98,5.511428571,17.846136986301367,78.13895890410959,0.0,5.175807143250099,306.0607628522181,44.43092950605265,202.09493375398208
Ginger,2003,Kharif,Meghalaya,8982.0,49215,3321.3,889038.36,2155.68,6.782857143,21.701568627450985,89.87941176470588,0.0,5.238632558608415,298.8833112635075,25.406143923504793,199.6818334946094
Maize,2003,Kharif,Meghalaya,16900.0,25929,3321.3,1672762.0,4056.0,1.528571429,21.701568627450985,89.87941176470588,0.0,5.209034531491154,336.9486316872793,34.03819517609439,203.61856810800336
Potato,2003,Whole Year,Meghalaya,18035.0,149428,3321.3,1785104.3,4328.4,7.241428571,17.72627397260274,82.11016438356164,0.0,5.194793234544214,282.469829435707,40.7141140725751,209.0231963922413
Rice,2003,Kharif,Meghalaya,109721.0,200703,3321.3,10860184.58,26333.04,1.798571429,21.701568627450985,89.87941176470588,0.0,5.318654792056457,286.3591881780789,42.013971554680495,183.17778724649264
Turmeric,2003,Whole Year,Meghalaya,1561.0,8656,3321.3,154507.78,374.64,5.471428571,17.72627397260274,82.11016438356164,0.0,5.288028564070041,332.85683438714966,30.04731837434656,193.20442724476675
Ginger,2004,Kharif,Meghalaya,9222.0,47138,4767.9,999111.48,1936.62,6.122857143,20.989084967320263,89.49692810457516,0.0,5.214947704763146,292.447865188257,27.246682844669337,200.82275569767233
Maize,2004,Kharif,Meghalaya,16875.0,24000,4767.9,1828237.5,3543.75,1.465714286,20.989084967320263,89.49692810457516,0.0,5.040654442941085,307.1038864595277,30.402878828830985,218.59921286021046
Potato,2004,Whole Year,Meghalaya,17287.0,141622,4767.9,1872873.58,3630.27,7.178571429,17.532349726775955,82.4796174863388,0.0,5.082512006149565,295.1690772569149,39.06758608684835,185.22962820279253
Rice,2004,Autumn,Meghalaya,32667.0,37766,4767.9,3539142.78,6860.07,1.492857143,18.89311475409836,87.21032786885246,0.0,5.23411899019062,319.6071413142364,26.96258382719386,202.21560630238764
Rice,2004,Summer,Meghalaya,9224.0,37439,4767.9,999328.16,1937.04,2.078333333,19.681475409836068,80.27926229508196,0.0,5.238982419137264,311.7273430766597,28.81524644560959,184.15452064298867
Rice,2004,Winter,Meghalaya,69659.0,118514,4767.9,7546856.06,14628.39,1.792857143,11.719777777777775,77.45288888888889,0.0,5.278291234842535,304.4547700984978,36.252464251729386,204.15737851396372
Turmeric,2004,Whole Year,Meghalaya,1682.0,9016,4767.9,182227.88,353.22,4.715714286,17.532349726775955,82.4796174863388,0.0,5.097996291763226,303.48380545741503,36.46536236649341,191.42778298368358
Ginger,2005,Kharif,Meghalaya,9625.0,53609,3374.4,1154230.0,2021.25,6.558571429,21.623660130718957,88.53692810457517,0.0,5.479866176671714,307.1074938136768,29.043482513986756,207.87864330360597
Maize,2005,Kharif,Meghalaya,16898.0,24424,3374.4,2026408.16,3548.58,1.481428571,21.623660130718957,88.53692810457517,0.0,5.053797749465902,311.8062690561368,40.79297789503702,190.15181217977948
Potato,2005,Whole Year,Meghalaya,17986.0,167030,3374.4,2156881.12,3777.06,7.768571429,17.852109589041095,82.42010958904109,0.0,5.344506419386648,306.19171390404745,39.11030079997245,222.76151579184736
Rice,2005,Autumn,Meghalaya,32678.0,43762,3374.4,3918745.76,6862.38,1.597142857,19.45909836065574,87.00967213114754,0.0,5.1631917825995695,288.69395753463766,30.552427851872384,190.21027658041473
Rice,2005,Summer,Meghalaya,9791.0,39910,3374.4,1174136.72,2056.11,2.245,19.420081967213115,81.33967213114755,0.0,5.188434743587885,305.11727962224967,36.3834539966501,209.92619898843228
Rice,2005,Winter,Meghalaya,63602.0,124605,3374.4,7627151.84,13356.42,1.971428571,12.736666666666666,71.146,0.0,5.201950283781686,321.8030111573598,33.67671583381022,232.64202999907542
Turmeric,2005,Whole Year,Meghalaya,1817.0,10508,3374.4,217894.64,381.57,5.621428571,17.852109589041095,82.42010958904109,0.0,5.293850102164751,287.14263665375574,29.64553750969444,205.78966898291822
Ginger,2006,Kharif,Meghalaya,9639.0,57278,2454.7,1230996.69,2120.58,7.088571429,21.498627450980397,87.9170588235294,0.0,5.166480582201123,310.71000741138135,37.366188122867726,199.12605304811754
Maize,2006,Kharif,Meghalaya,17039.0,25334,2454.7,2176050.69,3748.58,1.541428571,21.498627450980397,87.9170588235294,0.0,5.07298094228974,277.277291629712,32.767425239664895,210.27678553188167
Potato,2006,Rabi,Meghalaya,18173.0,188202,2454.7,2320873.83,3998.06,8.212857143,13.868232044198892,74.72082872928176,0.0,5.232114061619531,281.3139183193202,35.86590462925591,204.62380855674604
Rice,2006,Autumn,Meghalaya,32679.0,44736,2454.7,4173435.09,7189.38,1.641428571,19.437131147540985,84.91499999999999,0.0,5.067421384569831,302.3058765891829,35.29104359223,186.28435642603253
Rice,2006,Rabi,Meghalaya,9854.0,39940,2454.7,1258454.34,2167.88,2.077142857,13.868232044198892,74.72082872928176,0.0,5.253668104052243,308.4117678955235,40.41525621587638,212.64562462441884
Rice,2006,Winter,Meghalaya,61752.0,115533,2454.7,7886347.92,13585.44,1.852857143,11.345,74.63466666666666,0.0,4.993349594806436,285.93262440127313,37.5751763360433,206.1654314109465
Turmeric,2006,Rabi,Meghalaya,1912.0,14449,2454.7,244181.52,420.64,6.125714286,13.868232044198892,74.72082872928176,0.0,5.277257152945907,357.79097235982084,37.85445255346583,213.6267876821672
Ginger,2008,Kharif,Meghalaya,9283.0,50286,3114.3,1327840.32,835.47,6.414285714,21.244575163398693,89.98320261437908,0.0,5.34310026452398,309.77086876958697,33.423653776798275,209.10763064591922
Maize,2008,Kharif,Meghalaya,17117.0,25716,3114.3,2448415.68,1540.53,1.545714286,21.244575163398693,89.98320261437908,0.0,5.084076217819365,296.4477208988999,32.57318226085448,200.98248967263586
Potato,2008,Whole Year,Meghalaya,17690.0,161138,3114.3,2530377.6,1592.1,7.417142857,17.723688524590163,81.80346994535519,0.0,5.547198785001027,271.99102211112375,38.431300951872565,180.64740954572417
Rice,2008,Autumn,Meghalaya,32570.0,41908,3114.3,4658812.8,2931.3,1.53,19.374754098360658,86.31434426229507,0.0,5.1292102201315855,316.3342589545105,35.321400095477316,187.06706266484832
Rice,2008,Summer,Meghalaya,12752.0,46600,3114.3,1824046.08,1147.68,2.154285714,19.62532786885246,78.20229508196721,0.0,5.092704443611005,310.19396623402014,31.34816684141432,202.5975030749837
Rice,2008,Winter,Meghalaya,62723.0,115354,3114.3,8971897.92,5645.07,1.802857143,12.573,76.78477777777776,0.0,5.206835775985573,290.22599478591275,45.719720446626624,207.60702826781613
Turmeric,2008,Whole Year,Meghalaya,1959.0,10046,3114.3,280215.36,176.31,4.862857143,17.723688524590163,81.80346994535519,0.0,4.896228612001359,302.7968147215414,31.69106767615806,210.2292000175547
Ginger,2009,Kharif,Meghalaya,9321.0,54008,2995.9,1452398.22,1584.57,6.834285714,21.442941176470587,88.53483660130718,0.0,5.081121889235095,298.2789533779965,37.524936394902284,210.38906233004147
Maize,2009,Kharif,Meghalaya,17209.0,26167,2995.9,2681506.38,2925.53,1.574285714,21.442941176470587,88.53483660130718,0.0,5.019955538941634,294.98248146238575,32.625273444195216,192.16004920911547
Potato,2009,Whole Year,Meghalaya,17712.0,162445,2995.9,2759883.84,3011.04,7.318571429,18.007013698630136,80.74117808219178,0.0,5.464818136042164,306.07472566441436,28.695580228324772,211.01434336465732
Rice,2009,Autumn,Meghalaya,32560.0,41798,2995.9,5073499.2,5535.2,1.542857143,19.411311475409835,87.05557377049179,0.0,5.518323429551895,315.4869789082672,27.403150170229935,194.189191125605
Rice,2009,Summer,Meghalaya,12777.0,46943,2995.9,1990912.14,2172.09,2.171428571,19.77655737704918,74.96581967213116,0.0,5.3900366723779936,289.38495801571827,37.219097140731144,209.29560864115203
Rice,2009,Winter,Meghalaya,62825.0,115388,2995.9,9789391.5,10680.25,1.802857143,11.618999999999998,74.52844444444443,0.0,5.060960429263288,299.107119659073,18.793663299654636,187.7073483039885
Ginger,2010,Kharif,Meghalaya,9438.0,56622,3119.7,1567746.18,2265.12,7.162857143,21.394117647058824,91.24366013071896,0.0,5.162114777291026,281.28325227052727,43.16205651965818,182.8383034644724
Maize,2010,Kharif,Meghalaya,17276.0,26500,3119.7,2869716.36,4146.24,1.561428571,21.394117647058824,91.24366013071896,0.0,5.133993326995452,301.96110865929137,42.20636644533058,182.76965418584672
Potato,2010,Whole Year,Meghalaya,17685.0,164647,3119.7,2937655.35,4244.4,7.374285714,18.073150684931505,83.26813698630137,0.0,5.374474562823244,300.15349591529383,30.092456744760245,205.54524169115925
Rice,2010,Autumn,Meghalaya,32596.0,42492,3119.7,5414521.56,7823.04,1.53,19.75147540983607,89.67434426229508,0.0,5.229858954336021,290.9967468426181,35.349010424950094,195.37623683765887
Rice,2010,Rabi,Meghalaya,12797.0,47413,3119.7,2125709.67,3071.28,2.077142857,14.140773480662984,76.3103314917127,0.0,5.217027601787687,309.9319601178157,42.93008408072676,185.1462140140778
Rice,2010,Winter,Meghalaya,62892.0,117116,3119.7,10446990.12,15094.08,1.828571429,11.325333333333337,75.70755555555554,0.0,5.51995500619844,270.7186830071625,34.24107452482208,207.05980647781493
Turmeric,2010,Whole Year,Meghalaya,1928.0,10058,3119.7,320260.08,462.72,5.167142857,18.073150684931505,83.26813698630137,0.0,5.242148780160255,290.6595072026911,33.95938874821363,194.083988784094
Ginger,2011,Kharif,Meghalaya,9461.0,58132,4083.104545,1584906.72,3122.13,7.397142857,21.307254901960786,89.10228758169933,0.0,5.1115952864583685,312.7440314553154,36.785077429825236,191.68508485687215
Maize,2011,Kharif,Meghalaya,17303.0,26939,4083.104545,2898598.56,5709.99,1.58,21.307254901960786,89.10228758169933,0.0,5.334939981314988,304.60949281314913,39.0643105941948,207.55554610308334
Potato,2011,Whole Year,Meghalaya,17717.0,165670,4083.104545,2967951.84,5846.61,7.448571429,17.609616438356166,81.88835616438357,0.0,5.0756507483616895,291.5972843970454,38.73646802561631,207.32444318520157
Rice,2011,Autumn,Meghalaya,32605.0,43401,4083.104545,5461989.6,10759.65,1.511428571,19.25163934426229,86.76032786885247,0.0,5.1968647609053775,301.75991074963173,41.388324478942124,192.90114333397003
Rice,2011,Rabi,Meghalaya,12836.0,54206,4083.104545,2150286.72,4235.88,2.07,13.86010989010989,72.44005494505494,0.0,5.2820646071755055,296.9671102134916,33.911593983863895,213.18532222384627
Rice,2011,Winter,Meghalaya,63434.0,125124,4083.104545,10626463.68,20933.22,1.91,11.248555555555557,71.541,0.0,5.323812452348204,312.2026445400096,41.52739403577164,200.25204609959312
Turmeric,2011,Whole Year,Meghalaya,2000.0,10512,4083.104545,335040.0,660.0,5.21,17.609616438356166,81.88835616438357,0.0,5.302292945694245,295.34599865109817,36.62083176244221,198.4382833475878
Ginger,2012,Kharif,Meghalaya,9587.0,60149,2945.3,1445719.6,2971.97,7.545714286,21.63,90.83006535947712,0.0,5.214549394748908,308.9273553815537,30.908896583832636,225.10864730822553
Maize,2012,Whole Year,Meghalaya,18015.0,38732,2945.3,2716662.0,5584.65,2.2,17.786284153005465,80.28489071038251,0.0,5.049097392775045,281.78717080818404,40.79055436750034,209.49995232755523
Potato,2012,Whole Year,Meghalaya,18139.0,172955,2945.3,2735361.2,5623.09,7.585714286,17.786284153005465,80.28489071038251,0.0,5.293617972557824,309.4251826389642,34.93876613576543,189.23294754217002
Rice,2012,Autumn,Meghalaya,33000.0,66000,2945.3,4976400.0,10230.0,2.232857143,19.68295081967213,86.77213114754099,0.0,5.211370683729059,289.84257432731835,39.87559866708875,198.23531142197433
Rice,2012,Rabi,Meghalaya,13267.0,56786,2945.3,2000663.6,4112.77,2.13,14.733977900552484,68.460773480663,0.0,5.076175420481124,295.1792123752051,37.064657271378124,193.2353053663523
Rice,2012,Winter,Meghalaya,63484.0,142867,2945.3,9573387.2,19680.04,2.118571429,12.274333333333333,67.23222222222223,0.0,5.076666940665035,303.6553081723787,36.22483285554361,193.91668189554645
Turmeric,2012,Whole Year,Meghalaya,2208.0,12831,2945.3,332966.4,684.48,5.747142857,17.786284153005465,80.28489071038251,0.0,5.129344254157251,303.48074906036453,27.75957829251338,183.11043470748135
Ginger,2013,Kharif,Meghalaya,9752.0,63251,2448.4,1409066.48,2633.04,9.559090909,21.509084967320263,91.1526797385621,0.0,5.092233366812135,296.79829272432227,36.554537827990025,217.70427460339462
Maize,2013,Whole Year,Meghalaya,18025.0,39655,2448.4,2604432.25,4866.75,2.16,18.220328767123288,80.51679452054793,0.0,5.328648943480303,297.6009220505486,34.904918960486555,187.9696476243463
Potato,2013,Whole Year,Meghalaya,18449.0,181813,2448.4,2665696.01,4981.23,7.969090909,18.220328767123288,80.51679452054793,0.0,5.197223029601142,295.6701204161979,36.613592801690444,190.07322867737213
Rice,2013,Autumn,Meghalaya,22569.0,48727,2448.4,3260994.81,6093.63,2.448571429,19.607622950819675,88.03737704918031,0.0,5.277901977136176,322.99108369503864,34.45619925771571,204.8205406651873
Rice,2013,Rabi,Meghalaya,13444.0,58685,2448.4,1942523.56,3629.88,2.396363636,14.69596685082873,73.08265193370165,0.0,5.303521598756667,293.98169292171247,36.12046240905208,200.15110880938153
Rice,2013,Winter,Meghalaya,46424.0,111289,2448.4,6707803.76,12534.48,2.238571429,11.991666666666664,76.88344444444445,0.0,5.214651414782325,288.404853242168,35.12255087129471,205.9759794949454
Turmeric,2013,Whole Year,Meghalaya,2465.0,15126,2448.4,356167.85,665.55,5.89,18.220328767123288,80.51679452054793,0.0,5.417671541169256,314.3890623912781,45.76591228755778,190.7918292453434
Ginger,2014,Kharif,Meghalaya,9777.0,63555,3484.4,1475935.92,3226.41,9.29,21.63464052287582,90.19169934640524,0.0,5.330848095508102,302.7501300860753,45.94901466608836,190.30042057573817
Maize,2014,Whole Year,Meghalaya,18037.0,40764,3484.4,2722865.52,5952.21,2.214545455,18.24027397260274,80.91495890410958,0.0,5.074041723672884,291.00911031833965,24.380521378450965,193.69093973983087
Potato,2014,Summer,Meghalaya,12435.0,139328,3484.4,1877187.6,4103.55,8.149090909,20.035491803278692,75.41155737704919,0.0,5.086130100766946,302.2559067971431,36.7087798788858,222.51405007059063
Potato,2014,Winter,Meghalaya,6038.0,42957,3484.4,911496.48,1992.54,6.598181818,12.939777777777778,74.49877777777778,0.0,5.342563575727907,291.3464451650639,30.50792664325821,205.90303005807806
Rice,2014,Autumn,Meghalaya,33102.0,76631,3484.4,4997077.92,10923.66,2.507272727,19.673360655737703,88.10901639344262,0.0,5.001965018946904,327.4718814878153,40.897200603606436,194.36989217474354
Rice,2014,Rabi,Meghalaya,13620.0,62687,3484.4,2056075.2,4494.6,2.505454545,15.047182320441989,75.43624309392266,0.0,4.943029820636369,320.3080856124812,34.42730077373691,214.85379574368153
Rice,2014,Winter,Meghalaya,63601.0,158920,3484.4,9601206.96,20988.33,2.319090909,12.939777777777778,74.49877777777778,0.0,4.960835851180845,291.0093746556934,35.026218498590914,200.5637671251769
Turmeric,2014,Whole Year,Meghalaya,2516.0,15671,3484.4,379815.36,830.28,5.997272727,18.24027397260274,80.91495890410958,0.0,5.132490179278114,309.3427489852125,29.661897853087027,198.29144617974447
Ginger,2015,Kharif,Meghalaya,9911.0,65979,3870.8,1565046.01,3270.63,9.690909091,21.524771241830067,91.15235294117646,0.0,5.218044344756785,307.7165825108812,38.558074390444446,186.50429489794556
Maize,2015,Kharif,Meghalaya,18056.0,41242,3870.8,2851222.96,5958.48,2.24,21.524771241830067,91.15235294117646,0.0,4.969882874389657,319.16515232847763,36.66157005989796,191.01816156132136
Potato,2015,Summer,Meghalaya,12498.0,140311,3870.8,1973559.18,4124.34,8.179090909,19.660573770491805,81.9044262295082,0.0,5.4326727963283785,301.73511951439286,40.89648592031913,200.8102217769213
Potato,2015,Winter,Meghalaya,6063.0,43505,3870.8,957408.33,2000.79,6.711818182,12.174444444444443,75.68788888888889,0.0,5.509112188732298,326.3301126366481,33.75517925760463,211.65885141145228
Rice,2015,Autumn,Meghalaya,33136.0,77453,3870.8,5232505.76,10934.88,2.551818182,19.969426229508198,88.28647540983607,0.0,5.296806392437772,320.52947336298524,30.17538269709948,208.23261751998126
Rice,2015,Rabi,Meghalaya,13649.0,62901,3870.8,2155313.59,4504.17,2.557272727,15.141648351648357,77.45615384615385,0.0,5.358763673027438,273.6189077036533,29.083707436671126,175.5292138668788
Rice,2015,Winter,Meghalaya,63670.0,160722,3870.8,10054129.7,21011.1,2.347272727,12.174444444444443,75.68788888888889,0.0,5.159588974833317,310.76313383693946,42.51178526048014,200.8891373650373
Turmeric,2015,Whole Year,Meghalaya,2577.0,16324,3870.8,406934.07,850.41,6.138181818,18.191260273972603,83.5925205479452,0.0,5.444292331835694,279.2984781267766,26.483087803224226,199.3334276132406
Ginger,2016,Kharif,Meghalaya,9929.0,66055,3837.1,1521619.25,3475.15,9.662727273,21.777254901960784,90.89183006535949,0.0,5.257609817340896,299.5095787785886,24.662789499800617,198.93055952584655
Maize,2016,Kharif,Meghalaya,18128.0,41543,3837.1,2778116.0,6344.8,2.245454545,21.777254901960784,90.89183006535949,0.0,5.004329574924272,310.04508823245055,36.83299123048424,188.72144256407174
Potato,2016,Summer,Meghalaya,12554.0,142859,3837.1,1923900.5,4393.9,8.252727273,20.27229508196721,83.38844262295082,0.0,5.1229199623994965,284.1117971716657,34.686604513634144,211.46170784601486
Potato,2016,Winter,Meghalaya,6341.0,44026,3837.1,971758.25,2219.35,6.522727273,13.39188888888889,73.68844444444446,0.0,5.052141093049668,307.56069773276766,32.348711908137794,190.48552601285186
Rice,2016,Autumn,Meghalaya,33646.0,78965,3837.1,5156249.5,11776.1,2.552727273,20.31040983606557,88.61237704918034,0.0,5.183945446006817,284.4713651637094,32.23175347326409,185.6254652889338
Rice,2016,Rabi,Meghalaya,13670.0,63373,3837.1,2094927.5,4784.5,2.573636364,15.25270718232044,77.95569060773481,0.0,5.494708769937459,300.52895327957594,31.50137246003707,202.56775892881066
Rice,2016,Winter,Meghalaya,63862.0,162180,3837.1,9786851.5,22351.7,2.359090909,13.39188888888889,73.68844444444446,0.0,5.183150792546376,296.6854560070017,38.07083350021713,209.09009252056765
Turmeric,2016,Whole Year,Meghalaya,2632.0,16386,3837.1,403354.0,921.2,5.911818182,18.603633879781423,84.09420765027322,0.0,5.120424827858421,291.3627263903298,33.62474151424178,172.376946023173
Ginger,2017,Kharif,Meghalaya,9944.0,66195,4472.3,1565583.36,3778.72,9.665454545,21.70032679738562,91.5111111111111,0.0,4.972721340670217,320.5031140116679,43.22483856750642,197.01156752532347
Maize,2017,Kharif,Meghalaya,18152.0,41624,4472.3,2857850.88,6897.76,2.246363636,21.70032679738562,91.5111111111111,0.0,5.286483544458365,304.66875231815305,50.39440404227619,213.4348989372149
Potato,2017,Summer,Meghalaya,12559.0,142923,4472.3,1977288.96,4772.42,8.254545455,19.520901639344263,85.11688524590164,0.0,5.180812361277885,285.6668933909936,26.96776839871214,202.44156363040668
Potato,2017,Winter,Meghalaya,6354.0,44124,4472.3,1000373.76,2414.52,6.526363636,12.605333333333336,79.04877777777777,0.0,5.086547388207355,278.6661943560349,31.767135578787368,187.02142395662725
Rice,2017,Autumn,Meghalaya,33575.0,78848,4472.3,5286048.0,12758.5,2.551818182,20.116229508196724,88.38614754098361,0.0,5.453071245260885,313.2245963542418,34.960136793416915,217.75932966668032
Rice,2017,Rabi,Meghalaya,13683.0,63428,4472.3,2154251.52,5199.54,2.576363636,14.94370165745856,77.58397790055248,0.0,5.211605246147143,287.08073698007604,42.61562038634828,206.4669205242159
Rice,2017,Winter,Meghalaya,63883.0,162272,4472.3,10057739.52,24275.54,2.36,12.605333333333336,79.04877777777777,0.0,5.044413076851032,297.14491982874586,30.621908733076214,183.40640322842796
Turmeric,2017,Whole Year,Meghalaya,2649.0,16497,4472.3,417058.56,1006.62,5.915454545,18.42912328767123,84.20750684931507,0.0,5.338926632129747,328.641249607052,28.007162130904295,206.75563084028684
Ginger,2018,Kharif,Meghalaya,9953.0,66273,5649.1,1614376.6,3483.55,9.666363636,21.439411764705884,90.03084967320262,0.0,5.102403614631726,292.69311924352957,32.03803037880566,189.6321107638422
Maize,2018,Kharif,Meghalaya,18163.0,41667,5649.1,2946038.6,6357.05,2.246363636,21.439411764705884,90.03084967320262,0.0,5.207278244191724,287.5357482538344,36.35228412889919,199.39714268661035
Potato,2018,Summer,Meghalaya,12569.0,143031,5649.1,2038691.8,4399.15,8.255454545,19.534098360655737,81.83344262295083,0.0,5.164157792970038,286.38654506937604,32.116143347158335,209.06469470990908
Potato,2018,Winter,Meghalaya,6360.0,44175,5649.1,1031592.0,2226.0,6.526363636,12.086888888888888,72.62100000000001,0.0,5.275137578143657,285.33667132802174,35.49666152714613,209.01664548046148
Rice,2018,Autumn,Meghalaya,33494.0,78214,5649.1,5432726.8,11722.9,2.545454545,19.298770491803275,87.08770491803278,0.0,4.949589207831794,308.150402885699,31.686881205270765,206.8471840231179
Rice,2018,Rabi,Meghalaya,13624.0,63050,5649.1,2209812.8,4768.4,2.569090909,14.291104972375688,73.77154696132595,0.0,5.085511126518623,272.9267684900322,26.862287810584185,200.57701935993657
Rice,2018,Winter,Meghalaya,63814.0,161706,5649.1,10350630.8,22334.9,2.352727273,12.086888888888888,72.62100000000001,0.0,5.238958375258222,286.4352506234339,38.19296229388687,180.06175925277248
Turmeric,2018,Whole Year,Meghalaya,2658.0,16557,5649.1,431127.6,930.3,5.918181818,17.87441095890411,83.30846575342466,0.0,5.190088030202903,281.83475700356314,31.740819460989204,200.56878405579698
Ginger,2019,Kharif,Meghalaya,9963.0,66379,3844.4,1711244.88,3686.31,9.668181818,21.748562091503267,90.21235294117646,0.0,5.070937995207407,294.2316668365526,40.0314640460722,193.0772975657222
Maize,2019,Kharif,Meghalaya,18174.0,41760,3844.4,3121566.24,6724.38,2.254545455,21.748562091503267,90.21235294117646,0.0,5.325353816809772,283.0543971801357,37.64902088957641,217.2988234478948
